date,tokens,likes,retweets,mencoes,hashtags,emojis
2020-10-12,"['catedr', 'basílica', 'senhora', 'aparecida', 'imagen', '12out2019', 'respeito', 'toda', 'religiõ', 'brasil', 'paí', 'majoritariament', 'cristão', 'youtub']",24016,3979,[],[],[]
2020-10-12,"['corrupção', 'governo', 'bolsonaro', 'doi', 'ano', 'lava', 'jato', 'jb', 'algun', 'governador', 'lava', 'jato', 'continua', 'tá', 'ok', 'link', 'youtub']",22492,5590,[],[],[]
2020-10-12,"['programa', 'lixão', 'zero', 'modernização', 'licenciamento', 'processamento', 'ambient', 'rsallesmma', 'mmeioambient', 'açõ', 'governo', 'brasil', 'siga', 'rede', 'sociai', 'ministério', 'youtub']",14051,3183,"['rsallesmma', 'mmeioambiente']",[],[]
2020-10-11,['ernestofaraujo'],4598,294,['ernestofaraujo'],[],"['🇧🇷', '🤝']"
2020-10-11,"['terezacr', 'govbr', 'ministra']",4991,362,"['TerezaCrisMS', 'govbr']",[],"['🇧🇷', '🤝']"
2020-10-11,"['ferrovia', 'nortesul', 'espinha', 'dorsal', 'transport', 'brasil', 'fase', 'finalização', 'via', 'minfraestrutura', 'tarcisiogdf', 'youtub']",15324,3345,"['MInfraestrutura', 'tarcisiogdf']",[],[]
2020-10-11,"['bate', 'papo', 'alessandra', 'usuária', 'facebook', 'link', 'youtub']",6584,1139,[],[],[]
2020-10-11,"['bom', 'dia', 'todo', 'bda', 'aaaeguarujásp']",50319,3942,[],[],[]
2020-10-11,"['carlosbolsonaro', 'pode', 'algo', 'reprimido']",15176,1126,['CarlosBolsonaro'],[],[]
2020-10-10,"['demonstração', 'sólida', 'parceria', 'brasil', 'eua', 'minsaud', 'recebeu', 'setembro', 'dua', 'última', 'remessa', 'ventilador', 'pulmonar', 'doado', 'governo', 'americano', 'via', 'usaid', 'completando', 'mil', 'equipamento', 'prometido', 'president', 'realdonaldtrump']",26701,4660,"['minsaude', 'realDonaldTrump']",[],"['🇧🇷', '🇺🇸', '🤝']"
2020-10-10,['marceloscf2'],1548,111,['Marceloscf2'],[],"['🇧🇷', '👍']"
2020-10-10,"['guarujásp', '101020']",21794,3340,[],[],[]
2020-10-10,['tarcisiogdf'],6049,335,['tarcisiogdf'],[],"['🇧🇷', '👍']"
2020-10-10,"['agenda', 'president', '03', '09', 'outubro', 'pf', 'salvaram', 'vida', 'president', '2018', 'açõ', 'combat', 'corrupção', 'mincomunicaco', 'youtub']",11880,2251,['mincomunicacoes'],[],[]
2020-10-09,"['programa', 'abrac', 'marajó', 'dhumanosbrasil', 'damaresalv', 'link', 'youtub']",10864,2141,"['DHumanosBrasil', 'DamaresAlves']",[],[]
2020-10-09,"['pronunciamento', 'brevesilha', 'marajó']",3015,507,[],[],[]
2020-10-09,[],13891,2346,[],[],[]
2020-10-09,"['9', 'outubro', 'morria', 'bolívia', 'facínora', 'comunista', 'che', 'guevara', 'cujo', 'legado', 'inspira', 'marginai', 'drogado', 'escória', 'esquerda', 'fim', 'comunismo', 'perdia', 'força', 'américa', 'latina', 'voltaria', 'via', 'foro', 'sp', 'seguimo', 'combatendo', 'hoje', 'brasil', 'x', 'bolívia']",59695,15752,[],[],[]
2020-10-09,"['realizei', 'dia', 'hoje', 'primeiro', 'atendimento', 'auxílio', 'emergenci', 'agênciabarco', 'caixa', 'brevesilha', 'marajó', 'president', 'jair', 'bolsonaro', 'youtub']",23195,4415,['Caixa'],[],[]
2020-10-09,"['belém', 'brevesmarajó']",16623,2950,[],[],[]
2020-10-09,"['agenda', 'tema', 'part', '5', 'caso', 'robson', 'rússia', 'itamaratygovbr', 'candidato', 'brasil', 'indicaçõ', 'constitucionai', 'foro', 'sp', 'pergunta', 'jornalista', 'pingo', 'is']",5076,795,['ItamaratyGovBr'],[],[]
2020-10-09,"['agenda', 'tema', 'part', '4', 'novo', 'programa', 'mineração', 'desenvolvimento', 'preservação', 'meio', 'ambient', 'respeito', 'limit', 'teto', 'gasto', 'verdad', 'sobr', 'lavalato', 'continua', 'covidão', 'operaçõ', 'sobr', 'irregularidad', 'petrobra', 'outro']",6017,968,[],[],[]
2020-10-09,"['agenda', 'tema', 'part', '3', 'ampliação', 'financiamento', 'juro', 'baixo', 'micro', 'pequeno', 'empresário', 'nova', 'agência', 'barco', 'caixa', 'chegando', 'localidad', 'rio', 'auxílio', 'emergenci', 'fgt', 'bem', 'mincidadania']",3669,572,"['Caixa', 'MinCidadania']",[],[]
2020-10-09,"['agenda', 'tema', 'part', '2', 'programa', 'caixa', 'refloresta', 'árvore', '5', 'bioma', 'brasil', 'mmeioambient', 'programa', 'voo', 'simpl', 'simplificaçõ', 'revolucionam', 'aviação', 'minfraestrutura', 'fakenew', 'privatizaçõ', 'turismo', 'mturismo', 'mineconomia']",3577,591,"['Caixa', 'mmeioambiente', 'MInfraestrutura', 'MTurismo', 'MinEconomia']",[],[]
2020-10-09,"['agenda', 'tema', 'part', '1', 'programa', 'luz', 'amazônia', 'inauguração', 'programa', 'wifi', 'praça', 'desta', 'vez', 'cidad', 'pará', 'escola', 'outra', 'localidad', 'pública', 'mincomunicaco']",4037,641,"['Minas_Energia', 'mincomunicacoes']",[],[]
2020-10-09,"['live', 'quintafeira', 'president', 'bolsonaro', 'diretament', 'ilha', 'marajó', '08102020']",5825,905,[],[],[]
2020-10-09,"['imposto', 'sobr', 'jogo', 'eletrônico', '2019', 'baixamo', 'imposto', 'sobr', 'jogo', 'eletrônico', '50', '40', 'ontem', 'falei', 'novament', 'paulo', 'gued', 'buscarmo', 'nova', 'redução', '40', '30', 'reconheço', 'ideal', 'avançando', 'abraço', 'gamer']",72161,9477,[],[],['👍']
2020-10-08,"['brevesilha', 'marajopará']",17796,3685,[],[],[]
2020-10-08,['fabiofaria5555'],2431,159,['fabiofaria5555'],[],"['🇧🇷', '🤝']"
2020-10-08,"['tarcisiogdf', 'floripaairport', 'minfraestrutura', 'serpro']",4248,281,"['tarcisiogdf', 'FloripaAirport', 'MInfraestrutura', 'SERPRO']",[],['🇧🇷']
2020-10-08,"['mentira', 'fake', 'news']",21339,4920,[],[],[]
2020-10-08,['minfraestrutura'],2009,155,['MInfraestrutura'],[],['👉🏻']
2020-10-08,"['discurso', 'ocasião', 'formatura', 'policiafeder']",3557,663,['policiafederal'],[],[]
